,Date,Close,Open,High,Low,Volume,Returns
293,2015-03-12,3177.17,3113.5,3189.0,3093.5,340170.0,0.83
294,2015-03-13,3276.76,3230.0,3296.5,3198.0,414830.0,3.13
295,2015-03-16,3246.94,3280.0,3280.0,3222.0,328860.0,-0.91
296,2015-03-17,3269.0,3259.5,3298.0,3239.5,328870.0,0.68
297,2015-03-18,3244.14,3249.0,3292.5,3203.0,404550.0,-0.76
298,2015-03-19,3302.59,3254.0,3318.5,3247.5,355380.0,1.8
299,2015-03-20,3238.53,3291.0,3327.0,3211.0,414930.0,-1.94
300,2015-03-23,3177.03,3224.0,3232.5,3138.5,364980.0,-1.9
301,2015-03-24,3137.88,3125.0,3179.5,3099.0,418340.0,-1.23
302,2015-03-25,3198.73,3178.0,3209.5,3121.5,360120.0,1.94
303,2015-03-26,3197.6,3210.0,3228.0,3177.0,360030.0,-0.04
304,2015-03-27,3238.16,3189.5,3253.0,3184.0,300190.0,1.27
305,2015-03-30,3222.25,3269.0,3292.0,3209.5,328830.0,-0.49
306,2015-03-31,3208.0,3270.0,3270.0,3182.5,13260.0,-0.44
307,2015-04-01,3206.64,3191.0,3217.0,3156.5,354020.0,-0.04
308,2015-04-02,3155.16,3192.0,3210.0,3142.0,296280.0,-1.61
309,2015-04-06,3135.2,3110.0,3150.0,3106.0,255250.0,-0.63
310,2015-04-07,3148.0,3147.0,3169.0,3131.0,248440.0,0.41
311,2015-04-08,3076.84,3135.0,3137.0,3067.5,365320.0,-2.26
312,2015-04-09,3078.55,3056.0,3094.0,3043.5,326180.0,0.06
313,2015-04-10,3102.54,3090.0,3113.0,3088.0,282880.0,0.78
314,2015-04-13,3135.76,3112.0,3145.0,3101.5,275660.0,1.07
315,2015-04-14,3080.03,3131.5,3136.0,3071.5,330580.0,-1.78
316,2015-04-15,3055.55,3095.0,3108.5,3040.0,349030.0,-0.79
317,2015-04-16,3020.97,3017.0,3054.5,3011.0,325110.0,-1.13
318,2015-04-17,3063.85,3029.0,3082.0,3016.0,330940.0,1.42
319,2015-04-20,3038.27,3063.0,3068.0,3031.5,209520.0,-0.83
320,2015-04-22,3016.63,3037.5,3045.0,3005.0,308810.0,-0.71
321,2015-04-23,2983.62,3012.0,3039.5,2976.0,342760.0,-1.09
322,2015-04-24,2968.73,2980.0,2995.5,2956.5,288610.0,-0.5
323,2015-04-27,2917.31,2955.0,2964.0,2905.5,354170.0,-1.73
324,2015-04-28,2935.92,2900.0,2947.5,2885.5,444870.0,0.64
325,2015-04-29,2949.54,2954.0,2967.0,2916.0,383780.0,0.46
326,2015-04-30,2993.6,2946.5,2998.0,2944.0,8920.0,1.49
327,2015-05-04,3112.82,3105.0,3124.5,3087.0,284880.0,3.98
328,2015-05-05,3101.95,3108.0,3118.0,3071.0,331810.0,-0.35
329,2015-05-06,3074.92,3094.0,3101.5,3050.5,303420.0,-0.87
330,2015-05-07,3043.93,3060.5,3087.0,3039.5,312350.0,-1.01
331,2015-05-08,3007.16,3048.5,3067.0,2995.5,333560.0,-1.21
332,2015-05-11,3070.28,3002.0,3083.0,2997.0,290890.0,2.1
333,2015-05-12,3043.26,3073.5,3097.0,3031.5,297630.0,-0.88
334,2015-05-13,3056.81,3028.0,3062.0,3000.0,284610.0,0.45
335,2015-05-14,3017.23,3056.5,3059.0,3006.0,282860.0,-1.29
336,2015-05-15,3004.26,3020.5,3029.5,2985.0,265260.0,-0.43
